"filename", "language", "PHP", "Markdown", "JSON", "Shell Script", "PowerShell", "XML", "YAML", "CSS", "JavaScript", "HTML", "TypeScript", "SQL", "SCSS", "Ini", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tag\Svg\Path.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 18, 158
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tag\Svg\Polygon.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 8, 68
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tag\Svg\Polyline.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 68
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tag\Svg\Rect.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 9, 60
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tag\TagInterface.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 10, 83
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\AbstractTest.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 45
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\CssConverterTest.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 118
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Debug\DebugTest.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 11, 71
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\ExamplesTest.php", "PHP", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 37, 335
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Exception\ExceptionFormatterTest.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 18, 117
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Exception\LongSentenceExceptionTest.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 43
